row_index	mode	before_n	after_n	dropped_n	dropped_hash	injected_n	injected_hash
134	clean	12	12	0		0	
135	clean	6	6	0		0	
136	clean	5	5	0		0	
137	clean	23	23	0		0	
138	clean	13	13	0		0	
139	clean	13	13	0		0	
140	clean	29	29	0		0	
141	clean	33	33	0		0	
142	clean	9	9	0		0	
143	clean	23	23	0		0	
144	clean	10	10	0		0	
145	clean	12	12	0		0	
146	clean	6	6	0		0	
147	clean	6	6	0		0	
148	clean	10	10	0		0	
149	clean	9	9	0		0	
150	clean	4	4	0		0	
151	clean	14	14	0		0	
152	clean	9	9	0		0	
153	clean	9	9	0		0	
154	clean	10	10	0		0	
155	clean	6	6	0		0	
156	clean	11	11	0		0	
157	clean	11	11	0		0	
158	clean	32	32	0		0	
159	clean	12	12	0		0	
160	clean	14	14	0		0	
161	clean	26	26	0		0	
162	clean	11	11	0		0	
163	clean	18	18	0		0	
164	clean	22	22	0		0	
165	clean	62	62	0		0	
166	clean	9	9	0		0	
167	clean	32	32	0		0	
168	clean	69	69	0		0	
169	clean	11	11	0		0	
170	clean	18	18	0		0	
171	clean	10	10	0		0	
172	clean	4	4	0		0	
173	clean	6	6	0		0	
174	clean	11	11	0		0	
175	clean	11	11	0		0	
176	clean	5	5	0		0	
177	clean	5	5	0		0	
178	clean	14	14	0		0	
179	clean	4	4	0		0	
180	clean	6	6	0		0	
181	clean	7	7	0		0	
182	clean	12	12	0		0	
183	clean	6	6	0		0	
184	clean	17	17	0		0	
185	clean	21	21	0		0	
186	clean	18	18	0		0	
187	clean	24	24	0		0	
188	clean	20	20	0		0	
189	clean	10	10	0		0	
190	clean	19	19	0		0	
191	clean	19	19	0		0	
192	clean	21	21	0		0	
193	clean	16	16	0		0	
194	clean	47	47	0		0	
195	clean	75	75	0		0	
196	clean	7	7	0		0	
197	clean	5	5	0		0	
198	clean	9	9	0		0	
199	clean	9	9	0		0	
200	clean	26	26	0		0	
201	clean	26	26	0		0	
202	clean	42	42	0		0	
203	clean	19	19	0		0	
204	clean	15	15	0		0	
205	clean	14	14	0		0	
206	clean	46	46	0		0	
207	clean	18	18	0		0	
208	clean	6	6	0		0	
209	clean	11	11	0		0	
210	clean	6	6	0		0	
211	clean	6	6	0		0	
212	clean	7	7	0		0	
213	clean	16	16	0		0	
214	clean	9	9	0		0	
215	clean	14	14	0		0	
216	clean	11	11	0		0	
217	clean	10	10	0		0	
218	clean	5	5	0		0	
219	clean	7	7	0		0	
220	clean	9	9	0		0	
221	clean	8	8	0		0	
222	clean	19	19	0		0	
223	clean	10	10	0		0	
224	clean	7	7	0		0	
225	clean	13	13	0		0	
226	clean	20	20	0		0	
227	clean	24	24	0		0	
228	clean	29	29	0		0	
229	clean	19	19	0		0	
230	clean	22	22	0		0	
231	clean	19	19	0		0	
232	clean	32	32	0		0	
233	clean	9	9	0		0	
234	clean	7	7	0		0	
235	clean	10	10	0		0	
236	clean	9	9	0		0	
237	clean	6	6	0		0	
238	clean	7	7	0		0	
239	clean	37	37	0		0	
240	clean	8	8	0		0	
241	clean	43	43	0		0	
242	clean	13	13	0		0	
243	clean	20	20	0		0	
244	clean	13	13	0		0	
245	clean	17	17	0		0	
246	clean	27	27	0		0	
247	clean	22	22	0		0	
248	clean	45	45	0		0	
249	clean	5	5	0		0	
250	clean	23	23	0		0	
251	clean	4	4	0		0	
252	clean	33	33	0		0	
253	clean	14	14	0		0	
254	clean	8	8	0		0	
255	clean	21	21	0		0	
256	clean	13	13	0		0	
257	clean	40	40	0		0	
258	clean	10	10	0		0	
259	clean	9	9	0		0	
260	clean	6	6	0		0	
261	clean	7	7	0		0	
262	clean	17	17	0		0	
263	clean	8	8	0		0	
264	clean	12	12	0		0	
265	clean	11	11	0		0	
266	clean	24	24	0		0	
267	clean	20	20	0		0	
268	clean	26	26	0		0	
269	clean	4	4	0		0	
270	clean	25	25	0		0	
271	clean	8	8	0		0	
272	clean	8	8	0		0	
273	clean	5	5	0		0	
274	clean	9	9	0		0	
275	clean	23	23	0		0	
276	clean	11	11	0		0	
277	clean	13	13	0		0	
278	clean	25	25	0		0	
279	clean	5	5	0		0	
280	clean	6	6	0		0	
281	clean	7	7	0		0	
282	clean	9	9	0		0	
283	clean	8	8	0		0	
284	clean	7	7	0		0	
285	clean	17	17	0		0	
286	clean	18	18	0		0	
287	clean	17	17	0		0	
288	clean	4	4	0		0	
289	clean	15	15	0		0	
290	clean	20	20	0		0	
291	clean	19	19	0		0	
292	clean	6	6	0		0	
293	clean	21	21	0		0	
294	clean	11	11	0		0	
295	clean	5	5	0		0	
296	clean	15	15	0		0	
297	clean	23	23	0		0	
298	clean	5	5	0		0	
299	clean	8	8	0		0	
300	clean	5	5	0		0	
301	clean	13	13	0		0	
302	clean	12	12	0		0	
303	clean	11	11	0		0	
304	clean	8	8	0		0	
305	clean	16	16	0		0	
306	clean	8	8	0		0	
307	clean	23	23	0		0	
308	clean	29	29	0		0	
309	clean	18	18	0		0	
310	clean	11	11	0		0	
311	clean	24	24	0		0	
312	clean	15	15	0		0	
313	clean	7	7	0		0	
314	clean	10	10	0		0	
315	clean	10	10	0		0	
316	clean	13	13	0		0	
317	clean	8	8	0		0	
318	clean	9	9	0		0	
319	clean	12	12	0		0	
320	clean	13	13	0		0	
321	clean	4	4	0		0	
322	clean	9	9	0		0	
323	clean	15	15	0		0	
324	clean	12	12	0		0	
325	clean	4	4	0		0	
326	clean	14	14	0		0	
327	clean	12	12	0		0	
328	clean	17	17	0		0	
329	clean	13	13	0		0	
330	clean	21	21	0		0	
331	clean	18	18	0		0	
332	clean	16	16	0		0	
333	clean	29	29	0		0	
334	clean	38	38	0		0	
335	clean	20	20	0		0	
336	clean	22	22	0		0	
337	clean	18	18	0		0	
338	clean	47	47	0		0	
339	clean	91	91	0		0	
340	clean	6	6	0		0	
341	clean	12	12	0		0	
342	clean	7	7	0		0	
343	clean	7	7	0		0	
344	clean	28	28	0		0	
345	clean	37	37	0		0	
346	clean	87	87	0		0	
347	clean	14	14	0		0	
348	clean	13	13	0		0	
349	clean	16	16	0		0	
350	clean	18	18	0		0	
351	clean	15	15	0		0	
352	clean	7	7	0		0	
353	clean	6	6	0		0	
354	clean	10	10	0		0	
355	clean	13	13	0		0	
356	clean	13	13	0		0	
357	clean	11	11	0		0	
358	clean	16	16	0		0	
359	clean	7	7	0		0	
360	clean	23	23	0		0	
361	clean	30	30	0		0	
362	clean	10	10	0		0	
363	clean	4	4	0		0	
364	clean	6	6	0		0	
365	clean	9	9	0		0	
366	clean	8	8	0		0	
367	clean	15	15	0		0	
368	clean	7	7	0		0	
369	clean	14	14	0		0	
370	clean	49	49	0		0	
371	clean	16	16	0		0	
372	clean	10	10	0		0	
373	clean	15	15	0		0	
374	clean	27	27	0		0	
375	clean	18	18	0		0	
376	clean	5	5	0		0	
377	clean	9	9	0		0	
378	clean	8	8	0		0	
379	clean	9	9	0		0	
380	clean	20	20	0		0	
381	clean	7	7	0		0	
382	clean	14	14	0		0	
383	clean	11	11	0		0	
384	clean	6	6	0		0	
385	clean	14	14	0		0	
