row_index	mode	before_n	after_n	dropped_n	dropped_hash	injected_n	injected_hash
1688	clean	4	4	0		0	
1689	clean	3	3	0		0	
1690	clean	62	62	0		0	
1691	clean	5	5	0		0	
1692	clean	23	23	0		0	
1693	clean	8	8	0		0	
1694	clean	4	4	0		0	
1695	clean	3	3	0		0	
1696	clean	4	4	0		0	
1697	clean	11	11	0		0	
1698	clean	18	18	0		0	
1699	clean	17	17	0		0	
1700	clean	6	6	0		0	
1701	clean	9	9	0		0	
1702	clean	23	23	0		0	
1703	clean	34	34	0		0	
1704	clean	10	10	0		0	
1705	clean	53	53	0		0	
1706	clean	7	7	0		0	
1707	clean	3	3	0		0	
1708	clean	5	5	0		0	
1709	clean	17	17	0		0	
1710	clean	7	7	0		0	
1711	clean	14	14	0		0	
1712	clean	11	11	0		0	
1713	clean	7	7	0		0	
1714	clean	36	36	0		0	
1715	clean	18	18	0		0	
1716	clean	21	21	0		0	
1717	clean	5	5	0		0	
1718	clean	26	26	0		0	
1719	clean	74	74	0		0	
1720	clean	8	8	0		0	
1721	clean	20	20	0		0	
1722	clean	29	29	0		0	
1723	clean	19	19	0		0	
1724	clean	7	7	0		0	
1725	clean	8	8	0		0	
1726	clean	25	25	0		0	
1727	clean	28	28	0		0	
1728	clean	84	84	0		0	
1729	clean	27	27	0		0	
1730	clean	14	14	0		0	
1731	clean	7	7	0		0	
1732	clean	40	40	0		0	
1733	clean	72	72	0		0	
1734	clean	82	82	0		0	
1735	clean	9	9	0		0	
1736	clean	4	4	0		0	
1737	clean	66	66	0		0	
1738	clean	14	14	0		0	
1739	clean	10	10	0		0	
1740	clean	7	7	0		0	
1741	clean	7	7	0		0	
1742	clean	7	7	0		0	
1743	clean	25	25	0		0	
1744	clean	13	13	0		0	
1745	clean	77	77	0		0	
1746	clean	13	13	0		0	
1747	clean	2	2	0		0	
1748	clean	31	31	0		0	
1749	clean	6	6	0		0	
1750	clean	23	23	0		0	
1751	clean	16	16	0		0	
1752	clean	37	37	0		0	
1753	clean	7	7	0		0	
1754	clean	8	8	0		0	
1755	clean	7	7	0		0	
1756	clean	5	5	0		0	
1757	clean	31	31	0		0	
1758	clean	14	14	0		0	
1759	clean	26	26	0		0	
1760	clean	21	21	0		0	
1761	clean	6	6	0		0	
1762	clean	27	27	0		0	
1763	clean	20	20	0		0	
1764	clean	7	7	0		0	
1765	clean	9	9	0		0	
1766	clean	13	13	0		0	
1767	clean	8	8	0		0	
1768	clean	2	2	0		0	
1769	clean	24	24	0		0	
1770	clean	35	35	0		0	
1771	clean	46	46	0		0	
1772	clean	4	4	0		0	
1773	clean	16	16	0		0	
1774	clean	16	16	0		0	
1775	clean	18	18	0		0	
1776	clean	10	10	0		0	
1777	clean	13	13	0		0	
1778	clean	17	17	0		0	
1779	clean	7	7	0		0	
1780	clean	9	9	0		0	
1781	clean	9	9	0		0	
1782	clean	6	6	0		0	
1783	clean	3	3	0		0	
1784	clean	3	3	0		0	
1785	clean	8	8	0		0	
1786	clean	6	6	0		0	
1787	clean	10	10	0		0	
1788	clean	6	6	0		0	
1789	clean	16	16	0		0	
1790	clean	10	10	0		0	
1791	clean	10	10	0		0	
